"source_id","nombre","categoria","marca","modelo","descripcion","precio","stock","imagen_url","activo"
"ZT-INV-DF16B38F3D17C81FF57C","ESTUCHE EPIK LAPTOP 15.6""","EPIK","","","","75000","3","","1"
"ZT-INV-9956E720D1EEA4C53EAC","ADAPRADOR EUROPEO","CARGADORES","","","","45000","4","","1"
"ZT-INV-505895D7D95011FB1CD8","ADAPTADOR ETHERNET TIPO C CAJA VERDE","ACCESORIOS COMPUTADORES","","","","35000","2","","1"
"ZT-INV-D80E8CB31E0BED64CB25","ADAPTADOR TIPO C A INTERNET","INTERNET","","","","35000","1","","1"
"ZT-INV-37504B7DC9DA5736CD00","ADAPTADOR UNIVERSAL","JEDEL","","","","40000","1","","1"
"ZT-INV-9792744E68F49AE3B513","AIRPODS 4 GENERACION","BLUETOOTH","","","","160000","3","","1"
"ZT-INV-01B8ED6AA297EA701C01","AIRPODS MAX","DIADEMAS","","","","145000","3","","1"
"ZT-INV-49ADEDB7EB282A7B2006","AIRPODS PRO 3","BLUETOOTH","","","","220000","2","","1"
"ZT-INV-7C6A884366CC8EE8F1EE","ALARMA RELOJ MOVISUN 5W","MOVISUN","","","","75000","1","","1"
"ZT-INV-192375212AB74AB2C5A6","ALEXA ECHO SHOW 5","ACCESORIOS","","","","380000","1","","1"
"ZT-INV-82B67CF0E582C9995AF1","ARMADURA","FORROS","","","","25000","55","","1"
"ZT-INV-DFAAE7649D08A460EB50","ARO LUZ MJ33","ACCESORIOS","","","","110000","0","","1"
"ZT-INV-E21E2ED439258C567263","AUDÍFONOS IPHONE TIPO C","ACCESORIOS","","","","60000","8","","1"
"ZT-INV-6DC228D390EC214CB151","AUDIFONOS JBL VIBE BEAM 2","JBL","","","","260000","1","","1"
"ZT-INV-2F8BD5A98DEF4B63DBC6","AUDIFONOS VIDVIE  VS E01","VIDVIE","","","","25000","5","","1"
"ZT-INV-CCA1057993E807C158C8","AUDIFONOS VIDVIE HS604","VIDVIE","","","","25000","6","","1"
"ZT-INV-C8C441BD81F84A2F09BA","AUDIFONOS VIDVIE IPH E08","VIDVIE","","","","38000","2","","1"
"ZT-INV-92E4808CB901D0FDD7F8","AUDIFONOS VIDVIE TIPO C 685T","VIDVIE","","","","35000","4","","1"
"ZT-INV-4F8387293FB234CC17EB","BASE DIADEMA ONIKUMA ROJA","JEDEL","","","","45000","2","","1"
"ZT-INV-6EF26FA8F2DE7DF4C0F8","BASE EPIK HONEY-TABLET","EPIK","","","","75000","2","","1"
"ZT-INV-E2998CE7840133BFF1C1","BASE EPIK NOTEBOOK-LAPTOP","ACCESORIOS COMPUTADORES","","","","95000","1","","1"
"ZT-INV-553BCAC6438003D121EF","BASE EPIK RISER LAPTOP","EPIK","","","","35000","2","","1"
"ZT-INV-CE1B8A564DA31E9742B4","BASE EPIK ROTARY-STAND TABLET","EPIK","","","","85000","2","","1"
"ZT-INV-042340D7E4F7B19E1F59","BASE ONIKUMA ROSADA ST 3","JEDEL","","","","45000","3","","1"
"ZT-INV-9478D6C3E1E5F1BE80EA","BASE PARA PORTATIL RGB S900","JEDEL","","","","120000","1","","1"
"ZT-INV-AAA5A2A20A17F2471AFA","BASE PORTATIL GAMER S300","JEDEL","","","","110000","1","","1"
"ZT-INV-89A2D4C906070E78E91F","BLINDADO ANTIESPIA","VIDRIOS","","","","25000","150","","1"
"ZT-INV-D8DC0F9FD7FF13E4E728","BLUETOOHT VIDVIE  W10","VIDVIE","","","","95000","3","","1"
"ZT-INV-FCD975512DAF6159D709","BLUETOOT MOVISUN T4 NEGRO","MOVISUN","","","","68000","4","","1"
"ZT-INV-B60729C9E81EAB6CEF10","BLUETOOTH CAR X6","BLUETOOTH","","","","35000","2","","1"
"ZT-INV-8FB4273D582CFBDF4F58","BLUETOOTH EPIK E PRO 3","EPIK","","","","95000","3","","1"
"ZT-INV-D6808B5EDA889E31C48F","BLUETOOTH EPIK NEXO","EPIK","","","","95000","2","","1"
"ZT-INV-9D73D7941B9770A64819","BLUETOOTH EPIK WAVE PODS","EPIK","","","","85000","3","","1"
"ZT-INV-A57AE652141EB9235316","BLUETOOTH EPIK WIRELESS AIR CONDUCTION","EPIK","","","","110000","1","","1"
"ZT-INV-E78580B28DF1B4A3526D","BLUETOOTH GAMER MOVISUN T8","CARGADORES","","","","125000","3","","1"
"ZT-INV-07C1D234FB3E7D24289B","BLUETOOTH GTIDE  OWS 8","GTIDE","","","","120000","1","","1"
"ZT-INV-60CD2FC6513CCA343C01","BLUETOOTH GTIDE AC01","GTIDE","","","","75000","0","","1"
"ZT-INV-03B7424B1AB7E0962DF6","BLUETOOTH MOVISUN ITA 10 PRO","MOVISUN","","","","120000","3","","1"
"ZT-INV-CCE52A687ACBBA287226","BLUETOOTH MOVISUN ITA 2","MOVISUN","","","","85000","5","","1"
"ZT-INV-C398D2C9F0B8DF21C8D8","BLUETOOTH MOVISUN ITA 3 LITE","MOVISUN","","","","85000","6","","1"
"ZT-INV-EB8FA8D72141A3EB55A3","BLUETOOTH MOVISUN ITA 4 LITE","MOVISUN","","","","75000","5","","1"
"ZT-INV-03DCEA11599394F309E5","BLUETOOTH MOVISUN ITA 5 PRO","MOVISUN","","","","120000","2","","1"
"ZT-INV-FCCF127CAC2AE54A172D","BLUETOOTH MOVISUN ITA 8","MOVISUN","","","","120000","3","","1"
"ZT-INV-50EF193BAB11C2852139","BLUETOOTH MOVISUN T10 MORADO","MOVISUN","","","","110000","3","","1"
"ZT-INV-FE65D8A669F8C91C3ECA","BLUETOOTH MOVISUN T10 NEGRO","MOVISUN","","","","110000","3","","1"
"ZT-INV-BFD95135832BD4031F7E","BLUETOOTH MOVISUN T110 NEGRO","MOVISUN","","","","120000","3","","1"
"ZT-INV-D3BE9DE859C7BA0AEA29","BLUETOOTH MOVISUN T13 GRIS","MOVISUN","","","","95000","1","","1"
"ZT-INV-C454212C3C41D4249905","BLUETOOTH MOVISUN T13 NEGRO","MOVISUN","","","","95000","2","","1"
"ZT-INV-D03C3384FB0EC0AFE3EF","BLUETOOTH MOVISUN T19 AZUL","MOVISUN","","","","135000","1","","1"
"ZT-INV-BFF7E825AF70163D0A37","BLUETOOTH MOVISUN T19 NEGRO","MOVISUN","","","","135000","2","","1"
"ZT-INV-B1D8750755A73B0D4C88","BLUETOOTH MOVISUN T19 ROSADO","MOVISUN","","","","135000","1","","1"
"ZT-INV-A442659BEB577C58E774","BLUETOOTH MOVISUN T19 VERDE","MOVISUN","","","","135000","1","","1"
