source_id,nombre,categoria,marca,modelo,descripcion,precio,stock,imagen_url,activo
PREVIEW-5DE6C8587BFA0848,"ESTUCHE EPIK LAPTOP 15.6""",EPIK,,,,75000,3,,1
PREVIEW-2F01390766E229A6,ADAPRADOR EUROPEO,CARGADORES,,,,45000,4,,1
PREVIEW-A5BE3C1DB0378A2F,ADAPTADOR ETHERNET TIPO C CAJA VERDE,ACCESORIOS COMPUTADORES,,,,35000,2,,1
PREVIEW-97368BEC11A74A1B,ADAPTADOR TIPO C A INTERNET,INTERNET,,,,35000,1,,1
PREVIEW-74079FFEF9BF2AB6,ADAPTADOR UNIVERSAL,JEDEL,,,,40000,1,,1
PREVIEW-C232E7C89A45BD27,AIRPODS 4 GENERACION,BLUETOOTH,,,,160000,3,,1
PREVIEW-24D1803BDD7E4C07,AIRPODS MAX,DIADEMAS,,,,145000,3,,1
PREVIEW-5D2F62F2021BBCFB,AIRPODS PRO 3,BLUETOOTH,,,,220000,2,,1
PREVIEW-98926273180D80CF,ALARMA RELOJ MOVISUN 5W,MOVISUN,,,,75000,1,,1
PREVIEW-CF300E9E1858FA91,ALEXA ECHO SHOW 5,ACCESORIOS,,,,380000,1,,1
PREVIEW-090CC52ACE8D4392,ARMADURA,FORROS,,,,25000,55,,1
PREVIEW-CB24EC4B9E1F3885,ARO LUZ MJ33,ACCESORIOS,,,,110000,0,,1
PREVIEW-4BEF9B30ECDB6DEC,AUDÍFONOS IPHONE TIPO C,ACCESORIOS,,,,60000,8,,1
PREVIEW-0A18A339D411BB99,AUDIFONOS JBL VIBE BEAM 2,JBL,,,,260000,1,,1
PREVIEW-858613DC4CA83377,AUDIFONOS VIDVIE  VS E01,VIDVIE,,,,25000,5,,1
PREVIEW-BB54C43B6B9A2C95,AUDIFONOS VIDVIE HS604,VIDVIE,,,,25000,6,,1
PREVIEW-EF94C761618AB81B,AUDIFONOS VIDVIE IPH E08,VIDVIE,,,,38000,2,,1
PREVIEW-46F09A08ECB16A8D,AUDIFONOS VIDVIE TIPO C 685T,VIDVIE,,,,35000,4,,1
PREVIEW-742B045E7C619D06,BASE DIADEMA ONIKUMA ROJA,JEDEL,,,,45000,2,,1
